CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
01001,L'Abergement-Clémenciat,313,795.5,22679,,,,,,,,,,,,,,,,,,,,,,,,
01002,L'Abergement-de-Varey,101,248,24382.0833333333,,,,,,,,,,,,,,,,,,,,,,,,
01004,Ambérieu-en-Bugey,6363,14228,19721,49,17,19,22,22,15,9,,5,28,73,66,3.3,3.7,27,8.8,6.9,2.8,2.1,2,-15.7,10457.0833333333,33880.5555555556,3.23996227968814
01005,Ambérieux-en-Dombes,633,1662.5,23378,,,,,,,,,,,,,,,,,,,,,,,,
01006,Ambléon,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Ambronay,1087,2684,22146.4516129032,57,,,,,,,,,,75.5,70.5,2.5,2.6,27.2,8.1,4.2,2.4,1,0.8,-15,13947,34914.7826086957,2.50339016338249
01008,Ambutrix,297,736,24893.8095238095,,,,,,,,,,,,,,,,,,,,,,,,
01009,Andert-et-Condon,141,331,23088,,,,,,,,,,,,,,,,,,,,,,,,
01010,Anglefort,441,1061.5,22880.5555555556,,,,,,,,,,,,,,,,,,,,,,,,
01011,Apremont,143,364.5,23246.0869565217,,,,,,,,,,,,,,,,,,,,,,,,
01012,Aranc,149,329,21178.1190476191,,,,,,,,,,,,,,,,,,,,,,,,
01013,Arandas,65,143,18244,,,,,,,,,,,,,,,,,,,,,,,,
01014,Arbent,1314,3447,20158,52,12,,,,,,,,24,71.1,65.5,3.5,2.1,29,13.2,4.7,2.3,1.4,1.1,-18,11999.4444444444,35545.7142857143,2.96227999973544
01015,Arboys en Bugey,289,667.5,22357,,,,,,,,,,,,,,,,,,,,,,,,
01016,Arbigny,176,468.5,20405.9574468085,,,,,,,,,,,,,,,,,,,,,,,,
01017,Argis,198,430.5,18831,,,,,,,,,,,,,,,,,,,,,,,,
01019,Armix,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Ars-sur-Formans,496,1290,23152.8571428571,,,,,,,,,,,,,,,,,,,,,,,,
01022,Artemare,562,1195.5,19845,,,,,,,,,,,,,,,,,,,,,,,,
01023,Asnières-sur-Saône,,,,,,,,,,,,,,,,,,,,,,,,,,,
01024,Attignat,1263,3254,21977.1428571429,58,,,,,,,,,,79.5,72.7,2.3,4.5,25.1,7.1,3.9,2.5,0.7,0.7,-15.6,14182,34394,2.42518685657876
01025,Bâgé-Dommartin,1544,4151,21970.6666666667,55,6,,,,,,,,,79.6,71.9,2.4,5.2,23,8.1,4.1,2.7,0.8,0.6,-14.8,13942,33091.9047619048,2.37354072313189
01026,Bâgé-le-Châtel,398,884.5,20722,,,,,,,,,,,,,,,,,,,,,,,,
01027,Balan,647,1812,23696.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
01028,Baneins,225,600,22508.8,,,,,,,,,,,,,,,,,,,,,,,,
01029,Beaupont,256,613.5,19568,,,,,,,,,,,,,,,,,,,,,,,,
01030,Beauregard,363,884.5,21003,,,,,,,,,,,,,,,,,,,,,,,,
01031,Bellignat,1559,3555,18916.0714285714,47,19,,33,,,,,,31,67.6,62.3,3.3,2,29.8,9.8,7.6,3.1,2.3,2.2,-14.8,10216.5384615385,34472.6666666667,3.37420221109563
01032,Béligneux,1167,3260.5,20826,51,8,,,,,,,,,81.3,75.6,3.3,2.4,21.4,6.5,5.5,3.6,0.9,1,-14.7,13348.2608695652,34041.3333333333,2.55024483458736
01033,Valserhône,6472,15255,21405.2380952381,45,16,18,18,20,16,13,,7,27,78.2,71.4,4.3,2.5,23.9,7.2,4.6,1.9,1.5,1.2,-13.9,10533.5294117647,45125.3333333333,4.2839708866179
01034,Belley,4003,8758,18818,45,19,,21,24,17,15,,8,29,65.5,57.9,3.3,4.3,32.4,9.7,7.4,2.7,2.7,2,-15,10365.7142857143,32880.6896551724,3.17206212219139
01035,Belleydoux,143,319,22077.7333333333,,,,,,,,,,,,,,,,,,,,,,,,
